             rho            U_eq          phi_eq               q            j_eq            p_eq
      0.3057E+00      0.0000E+00      0.0000E+00      0.2187E+01      0.8340E+00      0.3178E-01
      0.3065E+00      0.0000E+00      0.0000E+00      0.2188E+01      0.8331E+00      0.3177E-01
      0.3074E+00      0.0000E+00      0.0000E+00      0.2189E+01      0.8323E+00      0.3176E-01
      0.3083E+00      0.0000E+00      0.0000E+00      0.2190E+01      0.8315E+00      0.3175E-01
      0.3092E+00      0.0000E+00      0.0000E+00      0.2191E+01      0.8306E+00      0.3174E-01
      0.3101E+00      0.0000E+00      0.0000E+00      0.2192E+01      0.8298E+00      0.3173E-01
      0.3109E+00      0.0000E+00      0.0000E+00      0.2193E+01      0.8290E+00      0.3172E-01
      0.3118E+00      0.0000E+00      0.0000E+00      0.2194E+01      0.8281E+00      0.3171E-01
      0.3127E+00      0.0000E+00      0.0000E+00      0.2196E+01      0.8273E+00      0.3170E-01
      0.3136E+00      0.0000E+00      0.0000E+00      0.2197E+01      0.8264E+00      0.3169E-01
      0.3145E+00      0.0000E+00      0.0000E+00      0.2198E+01      0.8256E+00      0.3169E-01
      0.3153E+00      0.0000E+00      0.0000E+00      0.2199E+01      0.8247E+00      0.3168E-01
      0.3162E+00      0.0000E+00      0.0000E+00      0.2200E+01      0.8239E+00      0.3167E-01
      0.3171E+00      0.0000E+00      0.0000E+00      0.2201E+01      0.8231E+00      0.3166E-01
      0.3180E+00      0.0000E+00      0.0000E+00      0.2202E+01      0.8222E+00      0.3165E-01
      0.3188E+00      0.0000E+00      0.0000E+00      0.2203E+01      0.8214E+00      0.3164E-01
      0.3197E+00      0.0000E+00      0.0000E+00      0.2204E+01      0.8205E+00      0.3163E-01
      0.3206E+00      0.0000E+00      0.0000E+00      0.2206E+01      0.8197E+00      0.3162E-01
      0.3215E+00      0.0000E+00      0.0000E+00      0.2207E+01      0.8188E+00      0.3161E-01
      0.3224E+00      0.0000E+00      0.0000E+00      0.2208E+01      0.8180E+00      0.3160E-01
      0.3232E+00      0.0000E+00      0.0000E+00      0.2209E+01      0.8171E+00      0.3159E-01
      0.3241E+00      0.0000E+00      0.0000E+00      0.2210E+01      0.8163E+00      0.3158E-01
      0.3250E+00      0.0000E+00      0.0000E+00      0.2211E+01      0.8154E+00      0.3157E-01
      0.3259E+00      0.0000E+00      0.0000E+00      0.2212E+01      0.8146E+00      0.3156E-01
      0.3268E+00      0.0000E+00      0.0000E+00      0.2214E+01      0.8137E+00      0.3155E-01
      0.3276E+00      0.0000E+00      0.0000E+00      0.2215E+01      0.8128E+00      0.3154E-01
      0.3285E+00      0.0000E+00      0.0000E+00      0.2216E+01      0.8120E+00      0.3153E-01
      0.3294E+00      0.0000E+00      0.0000E+00      0.2217E+01      0.8111E+00      0.3152E-01
      0.3303E+00      0.0000E+00      0.0000E+00      0.2218E+01      0.8103E+00      0.3152E-01
      0.3312E+00      0.0000E+00      0.0000E+00      0.2219E+01      0.8094E+00      0.3151E-01
      0.3320E+00      0.0000E+00      0.0000E+00      0.2220E+01      0.8085E+00      0.3150E-01
      0.3329E+00      0.0000E+00      0.0000E+00      0.2222E+01      0.8077E+00      0.3149E-01
      0.3338E+00      0.0000E+00      0.0000E+00      0.2223E+01      0.8068E+00      0.3148E-01
      0.3347E+00      0.0000E+00      0.0000E+00      0.2224E+01      0.8059E+00      0.3147E-01
      0.3355E+00      0.0000E+00      0.0000E+00      0.2225E+01      0.8051E+00      0.3146E-01
      0.3364E+00      0.0000E+00      0.0000E+00      0.2226E+01      0.8042E+00      0.3145E-01
      0.3373E+00      0.0000E+00      0.0000E+00      0.2228E+01      0.8033E+00      0.3144E-01
      0.3382E+00      0.0000E+00      0.0000E+00      0.2229E+01      0.8025E+00      0.3143E-01
      0.3391E+00      0.0000E+00      0.0000E+00      0.2230E+01      0.8016E+00      0.3142E-01
      0.3399E+00      0.0000E+00      0.0000E+00      0.2231E+01      0.8007E+00      0.3141E-01
      0.3408E+00      0.0000E+00      0.0000E+00      0.2232E+01      0.7999E+00      0.3140E-01
      0.3417E+00      0.0000E+00      0.0000E+00      0.2234E+01      0.7990E+00      0.3139E-01
      0.3426E+00      0.0000E+00      0.0000E+00      0.2235E+01      0.7981E+00      0.3138E-01
      0.3435E+00      0.0000E+00      0.0000E+00      0.2236E+01      0.7973E+00      0.3137E-01
      0.3443E+00      0.0000E+00      0.0000E+00      0.2237E+01      0.7964E+00      0.3136E-01
      0.3452E+00      0.0000E+00      0.0000E+00      0.2238E+01      0.7955E+00      0.3135E-01
      0.3461E+00      0.0000E+00      0.0000E+00      0.2240E+01      0.7946E+00      0.3134E-01
      0.3470E+00      0.0000E+00      0.0000E+00      0.2241E+01      0.7938E+00      0.3133E-01
