               n               m        E_phi_nm        E_psi_nm          E_p_nm
      0.1800E+02     -0.1670E+03      0.6086E-33      0.5895E-30      0.2109E-24
      0.1900E+02     -0.1670E+03      0.3486E-33      0.2782E-30      0.1130E-24
      0.2000E+02     -0.1670E+03      0.1802E-33      0.1645E-30      0.7099E-25
      0.2100E+02     -0.1670E+03      0.1058E-33      0.1234E-30      0.4804E-25
      0.2200E+02     -0.1670E+03      0.5591E-34      0.7187E-31      0.3702E-25
      0.2300E+02     -0.1670E+03      0.4014E-34      0.4582E-31      0.2251E-25
      0.2400E+02     -0.1670E+03      0.2864E-34      0.4002E-31      0.1882E-25
      0.2500E+02     -0.1670E+03      0.1780E-34      0.3933E-31      0.1590E-25
      0.2600E+02     -0.1670E+03      0.1228E-34      0.1583E-31      0.5543E-26
      0.2700E+02     -0.1670E+03      0.7839E-35      0.5086E-32      0.2224E-26
      0.2800E+02     -0.1670E+03      0.4767E-35      0.2361E-32      0.9972E-27
      0.2900E+02     -0.1670E+03      0.2794E-35      0.2143E-32      0.8540E-27
      0.3000E+02     -0.1670E+03      0.1645E-35      0.2276E-32      0.8827E-27
      0.3100E+02     -0.1670E+03      0.9647E-36      0.6905E-33      0.3176E-27
      0.3200E+02     -0.1670E+03      0.5384E-36      0.2234E-33      0.1270E-27
      0.3300E+02     -0.1670E+03      0.3100E-36      0.2132E-33      0.9452E-28
      0.3400E+02     -0.1670E+03      0.1918E-36      0.1289E-33      0.6719E-28
      0.3500E+02     -0.1670E+03      0.1145E-36      0.8399E-34      0.4974E-28
      0.3600E+02     -0.1670E+03      0.6349E-37      0.2872E-34      0.1946E-28
      0.3700E+02     -0.1670E+03      0.3586E-37      0.1561E-34      0.8747E-29
      0.3800E+02     -0.1670E+03      0.1806E-37      0.1492E-34      0.8314E-29
      0.3900E+02     -0.1670E+03      0.8993E-38      0.4300E-35      0.3199E-29
      0.4000E+02     -0.1670E+03      0.4458E-38      0.1716E-35      0.1689E-29
 
     -0.4000E+02     -0.1660E+03      0.5619E-11      0.8831E-11      0.3784E-09
